 ;spi/dat   04-FEB-2013 AT 12:49:26   data/webdendoc.dat
 ; KEY,    CLASS,      HEIGHT        ID
    1 3   8.00000       0.00000       51.0000     
    2 3   8.00000       0.00000       52.0000     
    3 3   8.00000       0.00000       53.0000     
    4 3   8.00000       0.00000       54.0000     
    5 3   8.00000       0.00000       55.0000     
    6 3   8.00000       0.00000       56.0000     
    7 3   8.00000       0.00000       57.0000     
    8 3   8.00000       0.00000       58.0000     
    9 3   8.00000       0.00000       59.0000     
   10 3   8.00000       1.92585       60.0000     
   11 3   5.00000       0.00000       71.0000     
   12 3   5.00000       0.00000       72.0000     
   13 3   5.00000       0.00000       73.0000     
   14 3   5.00000       0.00000       74.0000     
   15 3   5.00000       0.00000       75.0000     
   16 3   5.00000       0.00000       76.0000     
   17 3   5.00000       0.00000       77.0000     
   18 3   5.00000       0.00000       78.0000     
   19 3   5.00000       0.00000       79.0000     
   20 3   5.00000       22.4833       80.0000     
   21 3   7.00000       0.00000       61.0000     
   22 3   7.00000       0.00000       62.0000     
   23 3   7.00000       0.00000       63.0000     
   24 3   7.00000       0.00000       64.0000     
   25 3   7.00000       0.00000       65.0000     
   26 3   7.00000       0.00000       66.0000     
   27 3   7.00000       0.00000       67.0000     
   28 3   7.00000       0.00000       68.0000     
   29 3   7.00000       0.00000       69.0000     
   30 3   7.00000       1.03008       70.0000     
   31 3   2.00000       0.00000       41.0000     
   32 3   2.00000       0.00000       42.0000     
   33 3   2.00000       0.00000       43.0000     
   34 3   2.00000       0.00000       44.0000     
   35 3   2.00000       0.00000       45.0000     
   36 3   2.00000       0.00000       46.0000     
   37 3   2.00000       0.00000       47.0000     
   38 3   2.00000       0.00000       48.0000     
   39 3   2.00000       0.00000       49.0000     
   40 3   2.00000       100.000       50.0000     
   41 3   6.00000       0.00000       31.0000     
   42 3   6.00000       0.00000       32.0000     
   43 3   6.00000       0.00000       33.0000     
   44 3   6.00000       0.00000       34.0000     
   45 3   6.00000       0.00000       35.0000     
   46 3   6.00000       0.00000       36.0000     
   47 3   6.00000       0.00000       37.0000     
   48 3   6.00000       0.00000       38.0000     
   49 3   6.00000       0.00000       39.0000     
   50 3   6.00000       1.11630       40.0000     
   51 3   3.00000       0.00000       11.0000     
   52 3   3.00000       0.00000       12.0000     
   53 3   3.00000       0.00000       13.0000     
   54 3   3.00000       0.00000       14.0000     
   55 3   3.00000       0.00000       15.0000     
   56 3   3.00000       0.00000       16.0000     
   57 3   3.00000       0.00000       17.0000     
   58 3   3.00000       0.00000       18.0000     
   59 3   3.00000       0.00000       19.0000     
   60 3   3.00000       18.7326       20.0000     
   61 3   4.00000       0.00000       1.00000     
   62 3   4.00000       0.00000       2.00000     
   63 3   4.00000       0.00000       3.00000     
   64 3   4.00000       0.00000       4.00000     
   65 3   4.00000       0.00000       5.00000     
   66 3   4.00000       0.00000       6.00000     
   67 3   4.00000       0.00000       7.00000     
   68 3   4.00000       0.00000       8.00000     
   69 3   4.00000       0.00000       9.00000     
   70 3   4.00000       0.00000       10.0000     
   71 3   1.00000       0.00000       21.0000     
   72 3   1.00000       0.00000       22.0000     
   73 3   1.00000       0.00000       23.0000     
   74 3   1.00000       0.00000       24.0000     
   75 3   1.00000       0.00000       25.0000     
   76 3   1.00000       0.00000       26.0000     
   77 3   1.00000       0.00000       27.0000     
   78 3   1.00000       0.00000       28.0000     
   79 3   1.00000       0.00000       29.0000     
   80 3   1.00000       100.000       30.0000     
