 ;tom/dat   08-DEC-2004 AT 15:50:06   angles_3.dat
    1 3   0.0000      -60.000       0.0000     
    2 3   0.0000      -58.000       0.0000     
    3 3   0.0000      -56.000       0.0000     
    4 3   0.0000      -54.000       0.0000     
    5 3   0.0000      -52.000       0.0000     
    6 3   0.0000      -50.000       0.0000     
    7 3   0.0000      -48.000       0.0000     
    8 3   0.0000      -46.000       0.0000     
    9 3   0.0000      -44.000       0.0000     
   10 3   0.0000      -42.000       0.0000     
   11 3   0.0000      -40.000       0.0000     
   12 3   0.0000      -38.000       0.0000     
   13 3   0.0000      -36.000       0.0000     
   14 3   0.0000      -34.000       0.0000     
   15 3   0.0000      -32.000       0.0000     
   16 3   0.0000      -30.000       0.0000     
   17 3   0.0000      -28.000       0.0000     
   18 3   0.0000      -26.000       0.0000     
   19 3   0.0000      -24.000       0.0000     
   20 3   0.0000      -22.000       0.0000     
   21 3   0.0000      -20.000       0.0000     
   22 3   0.0000      -18.000       0.0000     
   23 3   0.0000      -16.000       0.0000     
   24 3   0.0000      -14.000       0.0000     
   25 3   0.0000      -12.000       0.0000     
   26 3   0.0000      -10.000       0.0000     
   27 3   0.0000      -8.0000       0.0000     
   28 3   0.0000      -6.0000       0.0000     
   29 3   0.0000      -4.0000       0.0000     
   30 3   0.0000      -2.0000       0.0000     
   31 3   0.0000       0.0000       0.0000     
   32 3   0.0000       2.0000       0.0000     
   33 3   0.0000       4.0000       0.0000     
   34 3   0.0000       6.0000       0.0000     
   35 3   0.0000       8.0000       0.0000     
   36 3   0.0000       10.000       0.0000     
   37 3   0.0000       12.000       0.0000     
   38 3   0.0000       14.000       0.0000     
   39 3   0.0000       16.000       0.0000     
   40 3   0.0000       18.000       0.0000     
   41 3   0.0000       20.000       0.0000     
   42 3   0.0000       22.000       0.0000     
   43 3   0.0000       24.000       0.0000     
   44 3   0.0000       26.000       0.0000     
   45 3   0.0000       28.000       0.0000     
   46 3   0.0000       30.000       0.0000     
   47 3   0.0000       32.000       0.0000     
   48 3   0.0000       34.000       0.0000     
   49 3   0.0000       36.000       0.0000     
   50 3   0.0000       38.000       0.0000     
   51 3   0.0000       40.000       0.0000     
   52 3   0.0000       42.000       0.0000     
   53 3   0.0000       44.000       0.0000     
   54 3   0.0000       46.000       0.0000     
   55 3   0.0000       48.000       0.0000     
   56 3   0.0000       50.000       0.0000     
   57 3   0.0000       52.000       0.0000     
   58 3   0.0000       54.000       0.0000     
   59 3   0.0000       56.000       0.0000     
   60 3   0.0000       58.000       0.0000     
   61 3   0.0000       60.000       0.0000     
   62 3   181.39       58.848       89.295     
   63 3   181.42       56.848       89.237     
   64 3   181.45       54.849       89.177     
   65 3   181.49       52.850       89.113     
   66 3   181.53       50.850       89.046     
   67 3   181.58       48.851       88.975     
   68 3   181.63       46.852       88.900     
   69 3   181.68       44.853       88.819     
   70 3   181.75       42.854       88.733     
   71 3   181.82       40.855       88.640     
   72 3   181.89       38.856       88.539     
   73 3   181.98       36.857       88.429     
   74 3   182.08       34.858       88.308     
   75 3   182.19       32.860       88.174     
   76 3   182.32       30.861       88.025     
   77 3   182.46       28.863       87.858     
   78 3   182.63       26.865       87.668     
   79 3   182.82       24.867       87.450     
   80 3   183.06       22.870       87.196     
   81 3   183.33       20.873       86.897     
   82 3   183.67       18.876       86.538     
   83 3   184.09       16.881       86.097     
   84 3   184.63       14.887       85.541     
   85 3   185.33       12.894       84.818     
   86 3   186.29       10.905       83.837     
   87 3   187.68       8.9192       82.424     
   88 3   189.87       6.9423       80.212     
   89 3   193.80       4.9836       76.262     
   90 3   202.70       3.0785       67.344     
   91 3   234.72       1.4548       35.307     
   92 3   314.31       1.6597       315.69     
   93 3   339.39       3.3751       290.59     
   94 3   347.02       5.2941       282.94     
   95 3   350.56       7.2568       279.38     
   96 3   352.58       9.2355       277.34     
   97 3   353.89       11.222       276.01     
   98 3   354.80       13.212       275.08     
   99 3   355.47       15.205       274.39     
  100 3   355.98       17.199       273.85     
  101 3   356.39       19.195       273.43     
  102 3   356.71       21.191       273.08     
  103 3   356.98       23.188       272.79     
  104 3   357.21       25.186       272.54     
  105 3   357.40       27.184       272.33     
  106 3   357.56       29.182       272.14     
  107 3   357.71       31.180       271.98     
  108 3   357.83       33.178       271.83     
  109 3   357.94       35.177       271.70     
  110 3   358.03       37.176       271.58     
  111 3   358.12       39.175       271.47     
  112 3   358.20       41.174       271.37     
  113 3   358.26       43.173       271.28     
  114 3   358.33       45.172       271.19     
  115 3   358.38       47.171       271.11     
  116 3   358.43       49.170       271.04     
  117 3   358.48       51.169       270.97     
  118 3   358.52       53.169       270.90     
  119 3   358.55       55.168       270.84     
  120 3   358.59       57.167       270.78     
  121 3   358.62       59.167       270.72     
  122 3   358.64       61.166       270.67     
